BORO,OCC,FW,year
2,2,136.7005,2002
2,3,206.8277,2002
2,3,184.60529,2002
2,1,182.1356,2002
2,3,149.81466,2002
2,3,149.81466,2002
2,3,183.37029,2002
2,1,195.60734,2002
2,3,151.70179,2002
2,2,213.67767,2002
2,3,222.99952,2002
2,1,128.03596,2002
2,3,222.99952,2002
2,1,254.73384,2002
2,3,149.81466,2002
2,3,171.35916,2002
2,3,17.25616,2002
2,3,133.3708,2002
2,3,149.69902,2002
2,3,184.5595,2002
2,3,17.25616,2002
2,3,181.3155,2002
2,1,160.01708,2002
2,1,195.60734,2002
2,3,141.05348,2002
2,3,139.50704,2002
2,1,174.20373,2002
2,3,198.50783,2002
2,3,212.44057,2002
2,2,213.04813,2002
2,3,213.67767,2002
2,2,219.26141,2002
2,3,204.18314,2002
2,3,222.99952,2002
2,3,271.39524,2002
2,1,183.33342,2002
2,3,211.16055,2002
2,3,166.2485,2002
2,3,213.67767,2002
2,3,163.98099,2002
2,2,204.03651,2002
2,3,197.03,2002
2,1,222.99952,2002
2,1,206.8815,2002
2,3,229.09524,2002
2,1,213.67767,2002
2,3,181.3155,2002
2,3,224.46642,2002
2,3,17.25616,2002
2,1,155.35774,2002
2,1,182.1356,2002
2,1,206.8277,2002
2,3,317.95175,2002
2,3,198.50783,2002
2,3,178.17058,2002
2,3,18.53358,2002
2,1,201.82977,2002
2,3,176.93193,2002
2,1,182.22949,2002
2,2,196.50526,2002
2,3,184.5595,2002
2,3,201.34897,2002
2,3,160.00757,2002
2,1,209.93114,2002
2,3,135.074,2002
2,1,202.81809,2002
2,3,222.99952,2002
2,1,212.44057,2002
2,3,174.20373,2002
2,1,206.8277,2002
2,3,193.6648,2002
2,3,178.59407,2002
2,2,17.25616,2002
2,3,17.25616,2002
2,3,180.83807,2002
2,1,201.34897,2002
2,3,222.99952,2002
2,1,170.95462,2002
2,1,234.44247,2002
2,3,183.37029,2002
2,3,213.67767,2002
2,3,222.99952,2002
2,1,145.17245,2002
2,1,222.99952,2002
2,1,206.50083,2002
2,2,204.03651,2002
2,3,222.99952,2002
2,3,172.25205,2002
2,3,17.25616,2002
2,1,174.20373,2002
2,1,134.73841,2002
2,3,173.40687,2002
2,2,180.83807,2002
2,3,17.25616,2002
2,3,17.25616,2002
2,3,222.99952,2002
2,1,149.81466,2002
2,1,216.8856,2002
2,2,209.93114,2002
2,1,149.81466,2002
2,1,204.18314,2002
2,1,176.93193,2002
2,1,210.63762,2002
2,1,217.49388,2002
2,1,182.04523,2002
2,3,192.32822,2002
2,3,160.01708,2002
2,3,151.70179,2002
2,3,234.44247,2002
2,1,145.58142,2002
2,3,17.25616,2002
2,1,182.1356,2002
2,1,255.84919,2002
2,3,181.3155,2002
2,3,213.72654,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,196.71842,2002
3,1,201.04525,2002
3,3,162.50069,2002
3,3,184.05591,2002
3,1,16.25516,2002
3,3,16.28936,2002
3,3,190.0111,2002
3,3,203.9617,2002
3,1,254.11404,2002
3,3,179.11474,2002
3,3,209.16064,2002
3,3,166.85234,2002
3,3,203.9617,2002
3,1,188.05791,2002
3,3,197.00469,2002
3,3,16.28936,2002
3,3,219.2391,2002
3,1,176.98019,2002
3,1,179.11474,2002
3,1,203.9617,2002
3,3,203.9617,2002
3,2,188.05791,2002
3,1,166.90563,2002
3,3,16.28936,2002
3,1,197.91145,2002
3,1,194.26646,2002
3,1,201.87179,2002
3,1,193.8234,2002
3,3,16.28936,2002
3,1,203.9617,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,1,196.83906,2002
3,3,16.28936,2002
3,2,160.5011,2002
3,1,201.44178,2002
3,1,188.05791,2002
3,3,229.31269,2002
3,2,190.0111,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,193.45658,2002
3,3,201.87179,2002
3,3,16.28936,2002
3,3,196.83906,2002
3,3,16.28936,2002
3,1,203.9617,2002
3,3,201.04525,2002
3,3,277.52968,2002
3,3,176.81438,2002
3,1,186.12303,2002
3,3,201.44178,2002
3,3,235.52681,2002
3,3,219.2391,2002
3,3,177.06,2002
3,3,16.28936,2002
3,1,145.30609,2002
3,3,177.93823,2002
3,3,203.9617,2002
3,3,196.71842,2002
3,2,203.9617,2002
3,1,197.91145,2002
3,1,174.61026,2002
3,2,209.16064,2002
3,1,162.66004,2002
3,1,154.67311,2002
3,3,186.90456,2002
3,3,196.83906,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,1,213.3193,2002
3,1,212.45747,2002
3,1,198.29055,2002
3,1,196.52831,2002
3,3,176.98019,2002
3,3,16.28936,2002
3,2,209.16064,2002
3,3,16.28936,2002
3,3,177.93823,2002
3,1,195.06173,2002
3,1,16.25516,2002
3,3,16.28936,2002
3,2,186.12303,2002
3,3,213.3193,2002
3,3,195.06173,2002
3,3,277.52968,2002
3,3,166.74675,2002
3,3,195.06173,2002
3,3,177.93823,2002
3,3,213.3193,2002
3,3,16.28936,2002
3,3,177.06,2002
3,3,16.28936,2002
3,2,186.12303,2002
3,3,160.5011,2002
3,3,188.05791,2002
3,1,197.91145,2002
3,3,219.2391,2002
3,1,184.05591,2002
3,1,16.25516,2002
3,3,196.71842,2002
3,3,196.83906,2002
3,1,139.53266,2002
3,3,186.12303,2002
3,3,16.28936,2002
3,3,182.69396,2002
3,1,193.45658,2002
3,2,173.56482,2002
3,3,16.28936,2002
3,3,192.99293,2002
3,3,209.16064,2002
3,3,203.9617,2002
3,3,196.71842,2002
3,3,195.06173,2002
3,3,203.9617,2002
3,3,190.0111,2002
3,3,209.16064,2002
3,3,209.16064,2002
3,2,209.16064,2002
3,2,196.83906,2002
3,3,16.28936,2002
3,1,204.34231,2002
3,3,204.38913,2002
3,3,196.83906,2002
3,3,185.06721,2002
3,1,213.3193,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,1,176.98019,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,182.69396,2002
3,1,179.11474,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,3,160.5011,2002
3,3,196.71842,2002
3,3,185.06721,2002
3,3,188.05791,2002
3,3,160.5011,2002
3,3,203.9617,2002
3,3,203.9617,2002
3,3,277.52968,2002
3,3,160.5011,2002
3,1,209.16064,2002
3,3,212.35418,2002
3,3,16.28936,2002
3,1,219.39159,2002
3,3,192.99293,2002
3,1,185.06721,2002
3,1,202.56133,2002
3,2,166.74675,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,195.06173,2002
3,3,160.5011,2002
3,3,196.83906,2002
3,3,196.71842,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,196.83906,2002
3,1,188.05791,2002
3,3,145.89642,2002
3,3,213.3193,2002
3,1,193.45658,2002
3,3,190.96393,2002
3,3,179.11474,2002
3,1,16.25516,2002
3,3,203.9617,2002
3,1,177.93823,2002
3,3,16.28936,2002
3,2,196.83906,2002
3,3,16.28936,2002
3,1,160.5011,2002
3,3,196.83906,2002
3,3,203.26285,2002
3,1,203.9617,2002
3,3,186.90456,2002
3,3,197.91145,2002
3,2,200.16906,2002
3,3,16.28936,2002
3,3,226.7279,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,201.44178,2002
3,3,254.11404,2002
3,1,160.5011,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,3,192.99293,2002
3,3,209.16064,2002
3,3,209.16064,2002
3,1,179.11474,2002
3,3,277.52968,2002
3,3,195.06173,2002
3,1,16.25516,2002
3,3,16.28936,2002
3,3,166.74675,2002
3,3,181.20005,2002
3,1,177.06,2002
3,3,209.16064,2002
3,3,201.04525,2002
3,3,16.28936,2002
3,1,173.56482,2002
3,3,16.28936,2002
3,3,165.78515,2002
3,1,179.11474,2002
3,3,192.99293,2002
3,3,190.0111,2002
3,2,185.06721,2002
3,1,16.25516,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,3,224.72588,2002
3,1,204.53483,2002
3,3,16.28936,2002
3,3,179.11474,2002
3,3,16.28936,2002
3,3,213.3193,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,162.305,2002
3,1,196.83906,2002
3,1,203.9617,2002
3,1,179.11474,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,188.05791,2002
3,3,16.28936,2002
3,1,201.44178,2002
3,3,196.52831,2002
3,3,196.71842,2002
3,1,195.06173,2002
3,3,193.8234,2002
3,3,186.90456,2002
3,3,196.83906,2002
3,3,16.28936,2002
3,3,196.71842,2002
3,3,177.06,2002
3,3,16.28936,2002
3,3,235.52681,2002
3,1,203.9617,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,16.25516,2002
3,3,16.28936,2002
3,3,196.71842,2002
3,3,197.00469,2002
3,1,196.71842,2002
3,3,226.7279,2002
3,3,179.11474,2002
3,3,235.52681,2002
3,3,186.90456,2002
3,3,181.20005,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,167.58807,2002
3,1,216.55204,2002
3,1,196.71842,2002
3,3,277.52968,2002
3,1,185.06721,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,196.83906,2002
3,1,177.06,2002
3,3,201.04525,2002
3,3,177.93823,2002
3,3,235.52681,2002
3,3,16.28936,2002
3,3,235.52681,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,2,167.58807,2002
3,3,192.99293,2002
3,3,213.3193,2002
3,3,203.9617,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,1,203.9617,2002
3,3,209.16064,2002
3,3,160.5011,2002
3,1,200.16906,2002
3,3,196.83906,2002
3,2,190.0111,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,203.9617,2002
3,3,16.28936,2002
3,3,196.71842,2002
3,1,188.05791,2002
3,3,209.16064,2002
3,1,179.11474,2002
3,1,188.05791,2002
3,3,152.29874,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,3,192.99293,2002
3,3,190.0111,2002
3,1,170.62623,2002
3,3,16.28936,2002
3,2,193.8234,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,180.11276,2002
3,3,203.9617,2002
3,3,144.32027,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,166.90563,2002
3,3,196.71842,2002
3,3,16.28936,2002
3,1,166.90563,2002
3,3,197.91145,2002
3,3,181.20005,2002
3,3,198.29055,2002
3,3,160.5011,2002
3,3,167.58807,2002
3,1,185.06721,2002
3,3,179.11474,2002
3,3,16.28936,2002
3,1,179.11474,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,186.90456,2002
3,1,173.56482,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,196.71842,2002
3,3,16.28936,2002
3,3,196.83906,2002
3,3,190.0111,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,212.45747,2002
3,3,203.03672,2002
3,2,204.34231,2002
3,3,181.20005,2002
3,3,165.78515,2002
3,1,179.11474,2002
3,3,219.26771,2002
3,1,195.06173,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,201.87179,2002
3,3,190.0111,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,177.93823,2002
3,1,203.9617,2002
3,3,16.28936,2002
3,3,195.06173,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,201.87179,2002
3,1,209.16064,2002
3,1,16.25516,2002
3,3,176.98019,2002
3,3,16.28936,2002
3,1,196.71842,2002
3,3,16.28936,2002
3,2,139.53266,2002
3,3,188.05791,2002
3,1,179.11474,2002
3,3,209.16064,2002
3,1,195.06173,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,3,186.90456,2002
3,3,16.28936,2002
3,3,197.91145,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,212.49595,2002
3,3,16.28936,2002
3,3,160.5011,2002
3,1,185.06721,2002
3,3,213.3193,2002
3,3,196.83906,2002
3,3,209.16064,2002
3,1,203.9617,2002
3,3,16.28936,2002
3,1,200.16906,2002
3,3,181.20005,2002
3,3,16.28936,2002
3,3,235.52681,2002
3,1,190.0111,2002
3,3,203.9617,2002
3,3,209.16064,2002
3,1,176.38161,2002
3,3,16.28936,2002
3,3,192.99293,2002
3,3,179.11474,2002
3,3,16.28936,2002
3,1,195.06173,2002
3,3,177.93823,2002
3,3,203.9617,2002
3,3,16.28936,2002
3,1,139.53266,2002
3,1,173.56482,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,1,16.25516,2002
3,3,186.96451,2002
3,3,209.16064,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,179.11474,2002
3,3,195.06173,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,3,196.71842,2002
3,3,209.16064,2002
3,3,188.05791,2002
3,1,16.25516,2002
3,3,198.29055,2002
3,1,229.31269,2002
3,1,179.11474,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,1,160.5011,2002
3,3,162.305,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,1,196.83906,2002
3,3,16.28936,2002
3,2,167.58807,2002
3,3,178.76955,2002
3,3,177.06,2002
3,3,16.28936,2002
3,3,190.0111,2002
3,1,196.52831,2002
3,3,137.55916,2002
3,2,181.20005,2002
3,1,196.83906,2002
3,3,177.06,2002
3,3,203.26285,2002
3,3,209.16064,2002
3,1,219.96002,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,3,197.91145,2002
3,3,196.71842,2002
3,3,201.04525,2002
3,3,197.94475,2002
3,1,190.96393,2002
3,3,219.2391,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,1,185.06721,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,2,209.16064,2002
3,3,209.16064,2002
3,3,186.96451,2002
3,3,185.13285,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,3,201.52447,2002
3,3,154.67311,2002
3,3,16.28936,2002
3,3,177.06,2002
3,3,177.93823,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,213.3193,2002
3,3,16.28936,2002
3,1,179.11474,2002
3,1,209.16064,2002
3,1,188.05791,2002
3,3,16.28936,2002
3,3,193.45658,2002
3,1,173.56482,2002
3,3,175.78075,2002
3,3,16.28936,2002
3,1,197.91145,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,2,160.5011,2002
3,3,16.28936,2002
3,3,179.11474,2002
3,3,16.28936,2002
3,3,196.83906,2002
3,3,166.85234,2002
3,1,160.5011,2002
3,3,16.28936,2002
3,3,16.28936,2002
3,3,203.9617,2002
3,3,179.11474,2002
3,3,229.31269,2002
3,3,166.85234,2002
3,3,182.2904,2002
3,3,196.83906,2002
3,3,196.71842,2002
3,3,213.3193,2002
3,1,185.06721,2002
3,1,198.29055,2002
3,3,16.28936,2002
3,3,213.3193,2002
3,3,182.69396,2002
3,1,212.49595,2002
3,3,209.16064,2002
3,3,16.28936,2002
3,3,209.16064,2002
3,1,197.91145,2002
3,3,167.58807,2002
3,1,196.83906,2002
3,1,196.71842,2002
3,1,174.61026,2002
3,3,16.28936,2002
3,1,160.5011,2002
3,3,181.20005,2002
3,3,209.16064,2002
4,3,160.52849,2002
4,3,207.21169,2002
4,3,146.97393,2002
4,3,217.63703,2002
4,3,225.86541,2002
4,3,194.72041,2002
4,3,189.94828,2002
4,3,168.09634,2002
4,1,177.03785,2002
4,1,163.66464,2002
4,3,206.26606,2002
4,3,225.78005,2002
4,1,185.38993,2002
4,3,172.90997,2002
4,3,157.85104,2002
4,3,171.36865,2002
4,3,225.86541,2002
4,3,159.83083,2002
4,3,182.92696,2002
4,1,230.69194,2002
4,3,196.62009,2002
4,3,174.54881,2002
4,3,230.69194,2002
4,3,227.16823,2002
4,2,163.31618,2002
4,3,152.05493,2002
4,3,230.69194,2002
4,3,211.79902,2002
4,3,235.51519,2002
4,3,165.2652,2002
4,3,172.90997,2002
4,3,228.09456,2002
4,3,168.09634,2002
4,3,195.30713,2002
4,3,194.72041,2002
4,1,165.42635,2002
4,3,181.90244,2002
4,3,221.98658,2002
4,3,250.36559,2002
4,3,225.86541,2002
4,3,221.98658,2002
4,3,212.0648,2002
4,2,174.54881,2002
4,3,171.36865,2002
4,3,194.64442,2002
4,1,230.39594,2002
4,3,200.21765,2002
4,3,155.86719,2002
4,3,162.94675,2002
4,1,159.83083,2002
4,3,203.86688,2002
4,3,160.52849,2002
4,2,266.22542,2002
4,3,225.86541,2002
4,3,230.49962,2002
4,3,229.80255,2002
4,1,230.39594,2002
4,3,225.86541,2002
4,3,259.89731,2002
4,3,171.36865,2002
4,3,230.69194,2002
4,1,138.58992,2002
4,3,253.26855,2002
4,1,179.764,2002
4,1,152.00105,2002
4,1,200.98545,2002
4,1,174.54881,2002
4,3,227.03054,2002
4,3,176.36872,2002
4,1,196.69543,2002
4,3,190.12024,2002
4,3,194.72041,2002
4,3,266.22542,2002
4,3,279.69978,2002
4,2,196.62009,2002
4,3,196.69543,2002
4,3,171.36865,2002
4,3,267.09389,2002
4,3,230.69194,2002
4,3,133.8328,2002
4,3,219.90473,2002
4,1,267.09389,2002
4,1,157.85104,2002
4,3,200.68404,2002
4,3,201.06813,2002
4,3,200.75332,2002
4,3,203.51231,2002
4,3,159.83083,2002
4,1,179.764,2002
4,3,179.764,2002
4,2,225.86541,2002
4,3,200.68404,2002
4,3,179.764,2002
4,3,230.69194,2002
4,3,257.09364,2002
4,3,230.69194,2002
4,1,212.70642,2002
4,1,193.99437,2002
4,3,209.07684,2002
4,3,221.98658,2002
4,1,171.36865,2002
4,3,230.69194,2002
4,3,221.98658,2002
4,3,230.69194,2002
4,1,212.70642,2002
4,3,228.32459,2002
4,1,250.36559,2002
4,3,230.39594,2002
4,3,225.86541,2002
4,1,163.66464,2002
4,2,142.20769,2002
4,3,242.12161,2002
4,3,230.69194,2002
4,1,195.30713,2002
4,3,217.63703,2002
4,3,221.98658,2002
4,1,268.77971,2002
4,2,176.36872,2002
4,3,160.13362,2002
4,3,221.98658,2002
4,3,182.57605,2002
4,3,200.68404,2002
4,1,160.13362,2002
4,1,179.12879,2002
4,1,201.06813,2002
4,2,179.764,2002
4,3,194.72041,2002
4,1,146.97393,2002
4,2,203.86688,2002
4,2,183.27329,2002
4,1,200.75332,2002
4,3,227.03054,2002
4,3,177.03785,2002
4,1,225.86541,2002
