year,start,end,variable
17,2,2,BORO
17,54,54,OCC
17,89,97,FW
14,2,2,BORO
14,55,55,OCC
14,93,101,FW
11,2,2,BORO
11,55,55,OCC
11,93,101,FW
08,2,2,BORO
08,55,55,OCC
08,93,101,FW
05,2,2,BORO
05,55,55,OCC
05,91,99,FW
02,2,2,BORO
02,55,55,OCC
02,89,97,FW
96,2,2,BORO
96,47,47,OCC
96,79,87,FW
93,2,2,BORO
93,47,47,OCC
93,79,87,FW
91,2,2,BORO
91,47,47,OCC
91,79,87,FW
